Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1960,179323175,288460,9110,17190,,107840,154320,3095700,912100,1855400,328200,160.9,5.1,9.6,,60.1,86.1,1726.3,508.6,1034.7,183
1961,182992000,289390,8740,17220,,106670,156760,3198600,949600,1913000,336000,158.1,4.8,9.4,,58.3,85.7,1747.9,518.9,1045.4,183.6
1962,185771000,301510,8530,17550,,110860,164570,3450700,994300,2089600,366800,162.3,4.6,9.4,,59.7,88.6,1857.5,535.2,1124.8,197.4
1963,188483000,316970,8640,17650,,116470,174210,3792500,1086400,2297800,408300,168.2,4.6,9.4,,61.8,92.4,2012.1,576.4,1219.1,216.6
1964,191141000,364220,9360,21420,,130390,203050,4200400,1213200,2514400,472800,190.6,4.9,11.2,,68.2,106.2,2197.5,634.7,1315.5,247.4
1965,193526000,387390,9960,23410,,138690,215330,4352000,1282500,2572600,496900,200.2,5.1,12.1,,71.7,111.3,2248.8,662.7,1329.3,256.8
1966,195576000,430180,11040,25820,,157990,235330,4793300,1410100,2822000,561200,220,5.6,13.2,,80.8,120.3,2450.9,721,1442.9,286.9
1967,197457000,499930,12240,27620,,202910,257160,5403500,1632100,3111600,659800,253.2,6.2,14,,102.8,130.2,2736.5,826.6,1575.8,334.1
1968,199399000,595010,13800,31670,,262840,286700,6125200,1858900,3482700,783600,298.4,6.9,15.9,,131.8,143.8,3071.8,932.3,1746.6,393
1969,201385000,661870,14760,37170,,298850,311090,6749000,1981900,3888600,878500,328.7,7.3,18.5,,148.4,154.5,3351.3,984.1,1930.9,436.2
1970,203235298,738820,16000,37990,,349860,334970,7359200,2205000,4225800,928400,363.5,7.9,18.7,,172.1,164.8,3621,1084.9,2079.3,456.8
1971,206212000,816500,17780,42260,,387700,368760,7771700,2399300,4424200,948200,396,8.6,20.5,,188,178.8,3768.8,1163.5,2145.5,459.8
1972,208230000,834900,18670,46850,,376290,393090,7413900,2375500,4151200,887200,401,9,22.5,,180.7,188.8,3560.4,1140.8,1993.6,426.1
1973,209851000,875910,19640,51400,,384220,420650,7842200,2565500,4347900,928800,417.4,9.4,24.5,,183.1,200.5,3737,1222.5,2071.9,442.6
1974,211392000,974720,20710,55400,,442400,456210,9278700,3039200,5262500,977100,461.1,9.8,26.2,,209.3,215.8,4389.3,1437.7,2489.5,462.2
1975,213124000,1039710,20510,56090,,470500,492620,10252700,3265300,5977700,1009600,487.8,9.6,26.3,,220.8,231.1,4810.7,1532.1,2804.8,473.7
1976,214659000,1004210,18780,57080,,427810,500530,10345500,3108700,6270800,966000,467.8,8.7,26.6,,199.3,233.2,4819.5,1448.2,2921.3,450
1977,216332000,1029580,19120,63500,,412610,534350,9955000,3071500,5905700,977700,475.9,8.8,29.4,,190.7,247,4601.7,1419.8,2729.9,451.9
